"Format","Identity","Title","Description"
"Informative","Main","Create Agreement","Use   agreements   to form mutual benefits for completing work which may otherwise not get accomplished."
"Required","Sub","Job","Describe the job that is needed, in as much detail as you can."
"Optional","Sub","Provisions","Describe any mutual benefits to this agreement that come with the job implementation process as commitment happens."
"Optional","Sub","Considerations","Add things to consider regarding this agreement, that the job may entail from time to time, which may get overlooked but are important to keep in mind."
"Informative","Main","Create Article","Use   articles   for time-sensitive content like news, press releases or blog posts."
"Recommended","Sub","Avatar","Set an avatar or theme for your post."
"Required","Sub","Entry","What is your article about?"
"Multimedia","Main","Create Audio","Use   audio files   to hear amazing sounds."
"Required","Sub","Add, Browse or Import Audio","Create a playlist of audio files."
"Recommended","Sub","Contents","Describe the content of what people will hear in these audio files."
"Informative","Main","Create Basic Page","Use   basic pages   for your static content, such as an 'About us' page."
"Informative","Main","Create Biography","Use   biographies   to introduce yourself to the community."
"Required","Sub","Introduction","Discuss your personal biography in detail."
"Optional","Sub","Impressions","Describe your community impressions, in ways that your feedback can be used at any time to implement improvements. We are here to help you out, if you need it."
"Guidance","Main","Create Category","Use categories to list content into links of relativity."
"Engagement","Main","Create Concern","Use   concerns   to voice care for projects of passion, that volunteer contributors like yourself appreciate."
"Required","Sub","Concern","Describe your passion in regards to an actively ongoing project accepting volunteer contributions, including your own."
"Recommended","Sub","Issues","Describe the work you have done to further the goal of this volunteer project, that you are concerned for."
"Required","Sub","Care","Describe the type of care that is regularly needed or sought for, in order to stabilize and grow this project of passion further."
"Recommended","Sub","Contribute","Add details for any position open to new volunteers, concerning any assistance that is needed with this project."
"Optional","Sub","Project","Add recruitment information to help this project gain new volunteer contributors."
"Engagement","Main","Create Debate","Use   debates   to have civil arguments with people about opposing views, while finding things in common that can make improvements to ideas, so that change can be implemented for the better."
"Required","Sub","Argument","Describe an attachment to purpose that you feel passionate about, enough to have a civil argument on, while keeping an open mind for opposition."
"Required","Sub","Debate","Describe what you are, and are not willing to address as talking points for this civil argument."
"Optional","Sub","Aftermath","Describe how this debate is going, by periodically updating your point of view, as it, you and others exchange perspectives around this civil argument."
"Engagement","Main","Create Discussion","Use   discussions   to gather initial feedback, on ideas generated by community interest."
"Required","Sub","Discuss","Describe in detail any idea that comes to mind, in relation to this topic of conversation."
"Recommended","Sub","Experience","Describe feedback, knowledge or insight that you intend to discover, while sharing your own thoughts and experiences relevant to this topic of conversation with other people."
"Multimedia","Main","Create Document","Use   documents   to read amazing things."
"Required","Sub","Add, Upload Or Import Documents","Create a folder of document files."
"Recommended","Sub","Overview","Describe what people will read when opening these documents."
"Multimedia","Main","Create Embed","Use   file embeds   to remotely display media from other sources across the web."
"Required","Sub","Add Embed Code Or A Source URL To One Or More Files","Create a playlist of remote media files. Please note that we have no control over when and or if media embeds will no longer remain online."
"Recommended","Sub","Featuring","Describe what people will be able to enjoy when viewing these file embeds. We will do our best to cache media in the event the embed source fails to load."
"Participation","Main","Create Event","Use   events   to organize, plan and orchestrate real moments of timeless continuity."
"Required","Sub","Event","Add relevant information about this event."
"Required","Sub","Live","Select the date and time, when this event begins and ends."
"Required","Sub","Plan","Describe what will happen during the event, as a schedule of things to do."
"Required","Sub","Attendance","Provide location, connection and contact information for any interested people that want to attend this event."
"Required","Sub","Requirements","Add any necessary expectations of commitment that might be needed or asked for, by all attendees of this event."
"Recommended","Sub","Obligations","Add some things to do, like enticing incentives or extra special contributions that attendees can look forward to while they are gathered together, in order to further the cause, purpose and reason for going to this event."
"Recommended","Sub","Vision","Describe your experience at an event like this, to others who may not know what to expect."
"Recommended","Sub","Role","Describe what role you play at this event, and the other roles available for different attendees to fulfill if applicable."
"Recommended","Sub","Outlook","For the uninitiated, describe what kind of impact an event like this has on the wider community, and how important it is to those who participate."
"Multimedia","Main","Create File","Use   file attachments   to display archives of importance that can be saved to your device."
"Required","Sub","Add, Upload Or Import Files","Create a folder of files."
"Recommended","Sub","Contents","Describe what these attached files contain."
"Engagement","Main","Create Game","Use   games   to interactively engage community contributors with creative trivia."
"Required","Sub","Rules","Describe the game in detail, and include any rules players have to follow to score a win."
"Recommended","Sub","Scores","Periodically update the score as the game gets popular, attracting more players."
"Participation","Main","Create Gift","Use gifts to give something to or provide a complementary service for helping out someone or a specific cause in need."
"Required","Sub","Gift","Explain what you are gifting in as much detail as you can."
"Required","Sub","Reclamation","Describe who this gift is for, in the context of it going towards a person, cause or applicable donation."
"Recommended","Sub","Explanation","Explain why are you gifting this item to this recipient?"
"Recommended","Sub","Recipient","Describe how this person or cause can claim this gift for themselves."
"Informative","Main","Create Goal","Use   goals   to implement change, in order to set yourself and or others up for success later on."
"Required","Sub","Goal","Describe the change you will commit to, and the focus you need to plan for, in order to help you achieve the success you want to make happen."
"Recommended","Sub","Progress","Add your progress you have made along the way, until your goal is fully implemented."
"Recommended","Sub","Challenges","Describe the challenges you are facing, and your plan to overcome each one. It is okay to collect feedback, and ask for help if you need to. No goal is met by one person alone."
"Participation","Main","Create Group","Use   groups   to share lists of content that relate to a particular topic of interest for greater analysis."
"Required","Sub","Info","Describe the content and purpose of this group."
"Required","Sub","People","Add links to the profiles of people in our community including yourself, who have contributed content relating to the purpose of this group."
"Required","Sub","Posts","Add links to other posts or create your own in our community, that relates to the purpose of this group."
"Required","Sub","Replies","Add links to replies made on posts in our community, including your own, that relate to the purpose of this group."
"Recommended","Sub","Media","Post directly or add links to media in our community, including your own, that relates to the purpose of this group."
"Recommended","Sub","Files","Attach directly or add links to files in our community, that relates to the purpose of this group."
"Recommended","Sub","Topics","Add links to other content categories in our community, that relate to the purpose of this group."
"Optional","Sub","Links","Add links to content stored anywhere on the web, including in our community, that relate to the purpose of this group."
"Informative","Main","Create Guide","Use   guides   to create course materials."
"Required","Sub","Section","Add as many sections to your guide as is required, for the material to be presented properly."
"Informative","Main","Create Idea","Use   ideas   to organize your thoughts into plans of action, intent and focus."
"Required","Sub","Idea","Describe the idea you have come up with, as it relates to something obtainable through your own efforts, research or commitment to purpose."
"Required","Sub","Evolution","To the best of your ability, provide in detail the steps you believe to be required, in order to shape this idea into reality as you see it unfolding."
"Recommended","Sub","Accommodation","Describe the difficulty in getting this idea to market, if you were to do so alone."
"Recommended","Sub","Value","If your idea has been implemented, add the most appropriate (preferably numeric based) values that best represents its purpose in action."
"Recommended","Sub","Purpose","As need grows into demand, describe the meaning of the values provided above, whereby this idea holds true to purpose the most, throughout its implementation if applicable."
"Engagement","Main","Create Interest","Use   interests   to assign lifestyle and culture, to hobbies and projects which appeal to you."
"Required","Sub","Interest","Describe a missing part of your life that you want to reclaim, through people, places and things."
"Required","Sub","Seeking","Describe the most relevant aspects of your interest that can best help you discover a match to what you are searching for, in correlation with a person, place or thing."
"Recommended","Sub","Attraction","Describe what attracts you to this interest in the context of a person, place or thing, including ideas that you are aware of."
"Recommended","Sub","Detraction","Describe what detracts you from this interest in the context of a person, place or thing, including ideas that you are aware of."
"Recommended","Sub","Progression","How much are you involved in doing something about obtaining your desires as they relate to this interest, in the context of a person, place or thing."
"Informative","Main","Create Journal","Use   journals   to document your life experience."
"Required","Sub","Entries","You can add as many entries as you like to your journal."
"Experience","Main","Create Memory","Use   memories   to display stories of great importance, revealing the events contained within."
"Required","Sub","Memory","Describe the story that unfolded, which made this memory so special to you."
"Recommended","Sub","Reference","Add the date, time and place, where this memory came into being."
"Recommended","Sub","Replication","Say if there is anything you would, could or should have changed to recreate a different result, than the one that already happened."
"Experience","Main","Create Mood","Use   moods   to share how you feel, alongside the cause for your emotion."
"Required","Sub","Mood","Add your emotions based around people, places, things or ideas, and share why you feel that way for each one."
"Informative","Main","Create Note","Use   notes   to create a task list of things in motion."
"Required","Sub","Note","Add a note, task list, reminder, or emotion, as a contemporary state of focus to address sometime soon."
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"This category creates an overview of the type of engagement expected by the relevant content type, as well as how relevant the information is within each field group belonging to it.","This definition establishes the type of example field this part of the content type is positioned at.","This is the title of the content type or field group, created based off of a Drupal site structure.","Contains a general description of the content type or field group listed."
